target,name,tier,index,gamma,diff,precision_pct,norm_precision
875,125 × dim(K₇),4,550,875.985285109,0.9852851089999604,0.11260401245713832,0.774083331426934
882,126 × dim(K₇),4,555,882.386696627,0.3866966269999921,0.04384315498866123,0.3042962821927458
889,127 × dim(K₇),4,560,888.475566674,-0.5244333260000076,0.05899137525309421,0.4133427819485435
896,128 × dim(K₇),4,566,895.397919675,-0.6020803249999744,0.06719646484374715,0.47529340704121176
903,129 × dim(K₇),4,572,903.099674443,0.09967444300002626,0.011038144296791392,0.07880831260250587
910,130 × dim(K₇),4,577,910.186334057,0.18633405699995365,0.020476269999994905,0.14755536228744942
917,131 × dim(K₇),4,582,916.355000809,-0.6449991910000108,0.07033797066521383,0.511552568195834
924,132 × dim(K₇),4,588,923.285719802,-0.7142801979999831,0.0773030517315999,0.5673642334962111
931,133 × dim(K₇),4,594,931.009211337,0.009211337000010644,0.0009894024704630124,0.0073277773530808395
938,134 × dim(K₇),4,599,937.532925712,-0.4670742880000489,0.049794700213224824,0.37212248217253824
945,135 × dim(K₇),4,605,945.333562503,0.33356250300005286,0.03529761936508496,0.26614709525474717
952,136 × dim(K₇),4,611,952.72798862,0.7279886200000192,0.07646939285714487,0.5817119067579745
959,137 × dim(K₇),4,617,959.459168807,0.4591688069999691,0.047879959019809085,0.3674421620530751
966,138 × dim(K₇),4,622,966.110754818,0.11075481800003217,0.011465302070396706,0.08875788987295435
973,139 × dim(K₇),4,627,973.185361294,0.18536129400001755,0.019050492702982275,0.14875983752707317
980,140 × dim(K₇),4,633,980.57800064,0.5780006400000275,0.05897965714285995,0.4645280269698381
987,141 × dim(K₇),4,639,986.756008408,-0.24399159200004306,0.024720526038504866,0.1963677510024972
994,142 × dim(K₇),4,645,994.404590571,0.40459057099997153,0.040703276760560514,0.3260750662988625
1001,143 × dim(K₇),4,650,1001.349482638,0.3494826380000404,0.03491335044955449,0.28205179911802725
1008,144 × dim(K₇),4,655,1008.006704307,0.006704306999949949,0.0006651098214236061,0.005418181922169471
1015,145 × dim(K₇),4,661,1014.689632622,-0.31036737800002356,0.03057806679803188,0.2511696965922862
1022,146 × dim(K₇),4,667,1021.5443445,-0.4556555000000344,0.044584686888457375,0.36924482119866225
1029,147 × dim(K₇),4,673,1029.227297444,0.22729744399998708,0.022089158794945295,0.18443960480645355
1036,148 × dim(K₇),4,678,1036.195917358,0.19591735800008792,0.018910941891900377,0.1591877580034411
1043,149 × dim(K₇),4,684,1043.62395435,0.6239543500000764,0.05982304410355479,0.5076472554418624
1050,150 × dim(K₇),4,690,1049.996284257,-0.0037157429999297165,0.000353880285707592,0.0030270722985216427
1057,151 × dim(K₇),4,696,1057.10004366,0.10004365999998299,0.009464868495741059,0.0816075028890454
1064,152 × dim(K₇),4,701,1064.071551072,0.07155107199992017,0.006724724812022571,0.05844072740004391
1071,153 × dim(K₇),4,706,1070.535041997,-0.46495800299999246,0.0434134456582626,0.38024872731049864
1078,154 × dim(K₇),4,713,1078.647198481,0.6471984810000322,0.060036964842303545,0.5299584139803419
1085,155 × dim(K₇),4,719,1085.647831209,0.64783120900006,0.059707945529959436,0.5311438753404603
1092,156 × dim(K₇),4,724,1091.728472967,-0.27152703299998393,0.02486511291208644,0.22289750383806156
1099,157 × dim(K₇),4,729,1098.841015467,-0.15898453299996618,0.014466290536848607,0.1306726488475804
1106,158 × dim(K₇),4,735,1105.617188831,-0.3828111689999787,0.0346122214285695,0.3150271871121083
1113,159 × dim(K₇),4,742,1113.397595115,0.3975951150000583,0.03572283153639338,0.32759259428056126
1120,160 × dim(K₇),4,747,1119.473247426,-0.5267525740000565,0.04703147982143362,0.43453558053002894
1127,161 × dim(K₇),4,753,1127.658023527,0.6580235270000685,0.05838718074534769,0.5434778325786546
1134,162 × dim(K₇),4,758,1133.708625669,-0.29137433100004273,0.025694385449739215,0.24094037844603977
1141,163 × dim(K₇),4,765,1141.261022964,0.26102296399994884,0.022876683961432852,0.21609817701552145
1148,164 × dim(K₇),4,770,1147.501776523,-0.49822347700001046,0.043399257578398125,0.41295898101369444
1155,165 × dim(K₇),4,776,1154.697519535,-0.3024804649999169,0.02618878484847765,0.2510075035478685
1162,166 × dim(K₇),4,782,1162.487528602,0.4875286020001113,0.04195598984510424,0.4050349230896109
1169,167 × dim(K₇),4,788,1169.698356885,0.6983568850000665,0.05973968220702023,0.5808569515198382
1176,168 × dim(K₇),4,794,1176.63287581,0.6328758100000869,0.053815970238102626,0.5269945444357461
1183,169 × dim(K₇),4,799,1182.582270347,-0.41772965299992393,0.03531104420963009,0.3482372913203091
1190,170 × dim(K₇),4,805,1189.963636498,-0.036363502000085646,0.0030557564705954326,0.03034831357539267
1197,171 × dim(K₇),4,811,1197.071786659,0.07178665900005399,0.005997214619887551,0.059978842587639226
1204,172 × dim(K₇),4,817,1203.855247594,-0.14475240599995232,0.012022625083052518,0.12107716418319299
1211,173 × dim(K₇),4,823,1211.416115893,0.41611589300009655,0.034361345417018706,0.348441229942948
1218,174 × dim(K₇),4,828,1217.174482498,-0.8255175019999115,0.06777647799670866,0.6920174133393512
1225,175 × dim(K₇),4,834,1225.018330024,0.018330024000078993,0.0014963284898023667,0.015382468466201801
1232,176 × dim(K₇),4,840,1231.562273878,-0.4377261219999582,0.0355297176948018,0.36773462779858473
1239,177 × dim(K₇),4,847,1239.490807147,0.4908071469999413,0.03961316763518494,0.41277068317571725
1246,178 × dim(K₇),4,852,1245.655866188,-0.3441338120001092,0.027619086035321764,0.289726416407684
1253,179 × dim(K₇),4,858,1253.673577852,0.6735778520001077,0.05375721085395911,0.5676860869075329
1260,180 × dim(K₇),4,864,1260.344548316,0.3445483160001004,0.027345104444452407,0.29068809297194437
1267,181 × dim(K₇),4,870,1267.200345612,0.20034561200009193,0.015812597632209307,0.16920398990202648
1274,182 × dim(K₇),4,876,1274.196220889,0.19622088899996015,0.01540195361067191,0.16589247572041285
1281,183 × dim(K₇),4,882,1281.82872696,0.82872696000004,0.0646937517564434,0.7013594753813372
1288,184 × dim(K₇),4,887,1287.410026617,-0.589973382999915,0.045805386878875386,0.4998117643768849
1295,185 × dim(K₇),4,894,1295.365363505,0.3653635050000048,0.028213398069498442,0.3098426597580613
1302,186 × dim(K₇),4,900,1302.346742379,0.3467423790000339,0.02663151912442657,0.2943487087144951
1309,187 × dim(K₇),4,905,1308.988196518,-0.011803482000004806,0.0009017174942708026,0.010030018193720703
1316,188 × dim(K₇),4,911,1316.212112603,0.21211260299992318,0.016117978951361946,0.18042289987351923
1323,189 × dim(K₇),4,917,1322.258067123,-0.7419328769999538,0.056079582539679054,0.631714257205238
1330,190 × dim(K₇),4,924,1330.42993712,0.42993711999997686,0.032326099248118564,0.36642844958622384
1337,191 × dim(K₇),4,929,1336.690184653,-0.30981534700003976,0.023172426851162286,0.2643094450420183
1344,192 × dim(K₇),4,935,1344.156044004,0.15604400400002305,0.01161041696428743,0.13325383586676026
1351,193 × dim(K₇),4,941,1351.296206374,0.2962063739998939,0.021924972168756027,0.25319044214804926
1358,194 × dim(K₇),4,947,1357.771742829,-0.22825717099999565,0.016808333652429727,0.1952967589598333
1365,195 × dim(K₇),4,953,1364.576584897,-0.42341510300002483,0.03101942146520328,0.362620291879796
1372,196 × dim(K₇),4,959,1371.686553553,-0.31344644699993296,0.02284595094751698,0.2686963363596435
1379,197 × dim(K₇),4,965,1379.683283029,0.6832830289999947,0.049549168165336825,0.5862855285088306
1386,198 × dim(K₇),4,971,1385.663777011,-0.3362229889999071,0.02425851291485621,0.28876438700203105
1393,199 × dim(K₇),4,977,1392.644027789,-0.35597221100010756,0.025554358291465008,0.30601137850388116
