manifold,b2,b3,H_star,source,gift_prediction,n_points,seed,lambda_0,lambda_1,lambda_1_times_H,sigma_mean,status
Synth_99_b,35,63,99,Synthetic,0.1414141414141414,1000,1,0.00025192427096558677,0.21608605783625734,21.392519725789477,2.8090405445255735,ok
Synth_99_b,35,63,99,Synthetic,0.1414141414141414,1000,2,-0.007090888804291026,0.20924528121929745,20.715282840710447,2.803212641462075,ok
Synth_99_b,35,63,99,Synthetic,0.1414141414141414,2000,0,-0.002195413228567841,0.17175862425920355,17.004103801661152,2.625315949210156,ok
Synth_99_b,35,63,99,Synthetic,0.1414141414141414,2000,1,1.8858214242979878e-05,0.17673674687817162,17.49693794093899,2.6315266879159953,ok
Synth_99_b,35,63,99,Synthetic,0.1414141414141414,2000,2,-0.00024879999135297287,0.17227067341731317,17.054796668314005,2.6297884587335267,ok
Synth_99_b,35,63,99,Synthetic,0.1414141414141414,5000,0,-0.0007937752883410844,0.12938157967222086,12.808776387549866,2.4864147629069318,ok
Synth_99_b,35,63,99,Synthetic,0.1414141414141414,5000,1,0.000826893807564718,0.12853949365422132,12.72540987176791,2.489315647239102,ok
Synth_99_b,35,63,99,Synthetic,0.1414141414141414,5000,2,-0.00046635435309044364,0.12631021612109763,12.504711395988666,2.4885787501365217,ok
Synth_99_c,7,91,99,Synthetic,0.1414141414141414,1000,0,0.00119338699838753,0.2167007853165274,21.453377746336212,2.7933963639621386,ok
Synth_99_c,7,91,99,Synthetic,0.1414141414141414,1000,1,0.0027234849772022982,0.21654312999764444,21.4377698697668,2.8090405445255735,ok
Synth_99_c,7,91,99,Synthetic,0.1414141414141414,1000,2,-0.004029096701839658,0.20998022136232716,20.78804191487039,2.803212641462075,ok
Synth_99_c,7,91,99,Synthetic,0.1414141414141414,2000,0,0.001153788462605915,0.170008818719294,16.830873053210105,2.625315949210156,ok
Synth_99_c,7,91,99,Synthetic,0.1414141414141414,2000,1,-0.002199048041958266,0.17670639222242635,17.493932830020206,2.6315266879159953,ok
Synth_99_c,7,91,99,Synthetic,0.1414141414141414,2000,2,0.001055363079971184,0.17075158411235608,16.904406827123253,2.6297884587335267,ok
Synth_99_c,7,91,99,Synthetic,0.1414141414141414,5000,0,-9.24127767229242e-05,0.12938631796175368,12.809245478213613,2.4864147629069318,ok
Synth_99_c,7,91,99,Synthetic,0.1414141414141414,5000,1,0.00033723663066303046,0.12879716962337454,12.750919792714079,2.489315647239102,ok
Synth_99_c,7,91,99,Synthetic,0.1414141414141414,5000,2,0.0004446455095837001,0.1262083396639541,12.494625626731455,2.4885787501365217,ok
Small_H,5,30,36,Synthetic,0.3888888888888889,1000,0,0.009555012256993838,0.21690921890875475,7.808731880715171,2.4175237543174024,ok
Small_H,5,30,36,Synthetic,0.3888888888888889,1000,1,0.003658370128259608,0.2158988636724002,7.772359092206407,2.4310628920555537,ok
Small_H,5,30,36,Synthetic,0.3888888888888889,1000,2,0.0010690690707141743,0.20982319165344634,7.553634899524068,2.426019177430722,ok
Small_H,5,30,36,Synthetic,0.3888888888888889,2000,0,-0.0023247459095177983,0.17173606615645595,6.182498381632414,2.2720598307079043,ok
Small_H,5,30,36,Synthetic,0.3888888888888889,2000,1,0.0018080227206638789,0.1768409137401298,6.366272894644673,2.277434867543682,ok
Small_H,5,30,36,Synthetic,0.3888888888888889,2000,2,-0.0024093854555269877,0.1709476296245812,6.154114666484924,2.275930530245446,ok
Small_H,5,30,36,Synthetic,0.3888888888888889,5000,0,0.0007118075382061115,0.1291340731167737,4.6488266322038525,2.1518488496516315,ok
Small_H,5,30,36,Synthetic,0.3888888888888889,5000,1,0.0020486609228493866,0.1290297400967918,4.645070643484505,2.15435939805501,ok
Small_H,5,30,36,Synthetic,0.3888888888888889,5000,2,-0.0004775719524365042,0.12521881201008866,4.507877232363192,2.1537216560313723,ok
Large_H,40,150,191,Synthetic,0.07329842931937172,1000,0,-0.0020007645850100893,0.21684949739051565,41.41825400158849,3.0683417613738255,ok
Large_H,40,150,191,Synthetic,0.07329842931937172,1000,1,0.0004677664950472938,0.2169217532289907,41.432054866737225,3.0855257504290607,ok
Large_H,40,150,191,Synthetic,0.07329842931937172,1000,2,0.0005474627382542954,0.21199858585056916,40.49172989745871,3.0791242248232895,ok
Large_H,40,150,191,Synthetic,0.07329842931937172,2000,0,0.0017676108252847541,0.17231633869593171,32.91242069092296,2.8837177092679385,ok
Large_H,40,150,191,Synthetic,0.07329842931937172,2000,1,0.0038733180363386974,0.1769716234143096,33.801580072133135,2.8905397518487757,ok
Large_H,40,150,191,Synthetic,0.07329842931937172,2000,2,-1.1697933694800045e-05,0.17229931992808858,32.90917010626492,2.8886304341235096,ok
Large_H,40,150,191,Synthetic,0.07329842931937172,5000,0,-0.0005935654096237163,0.12867124786336956,24.576208341903587,2.7311449071633223,ok
Large_H,40,150,191,Synthetic,0.07329842931937172,5000,1,-0.0006203212356812956,0.12807277267505232,24.461899580934993,2.734331316602435,ok
Large_H,40,150,191,Synthetic,0.07329842931937172,5000,2,0.0013029431628252368,0.12531548251556127,23.9352571604722,2.7335218889884914,ok
